"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-02","0.00","0.0","0.0","72","45","57"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-03","0.08","0.0","0.0","77","51","52"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-04","0.01","0.0","0.0","69","49","49"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-05","0.00","0.0","0.0","65","47","47"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-06","0.00","0.0","0.0","63","36","36"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-07","0.32","0.0","0.0","61","36","39"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-08","0.74","0.0","0.0","50","38","50"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-09","0.00","0.0","0.0","66","47","48"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-10","0.00","0.0","0.0","66","46","47"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-11","0.00","0.0","0.0","73","47","55"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-12","0.00","0.0","0.0","82","55","56"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-13","0.00","0.0","0.0","77","55","56"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-14","0.00","0.0","0.0","84","56","61"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-15","1.45","0.0","0.0","74","61","62"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-16","0.42","0.0","0.0","65","29","30"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-17","0.00","0.0","0.0","51","30","34"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-18","0.00","0.0","0.0","59","33","38"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-19","0.00","0.0","0.0","59","38","44"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-20","0.00","0.0","0.0","64","44","46"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-21","0.00","0.0","0.0","66","40","41"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-22","0.00","0.0","0.0","74","41","58"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-23","0.00","0.0","0.0","76","49","50"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-24","0.00","0.0","0.0","65","42","44"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-25","0.00","0.0","0.0","68","44","49"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-26","0.50","0.0","0.0","58","49","51"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-27","0.00","0.0","0.0","78","50","51"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-28","0.00","0.0","0.0","75","51","52"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-29","0.57","0.0","0.0","62","47","47"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-04-30","1.54","0.0","0.0","50","46","49"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-01","1.56","0.0","0.0","60","49","60"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-02","0.00","0.0","0.0","79","51","53"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-03","0.00","0.0","0.0","71","51","53"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-04","0.00","0.0","0.0","75","53","56"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-05","0.00","0.0","0.0","81","48","50"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-06","0.06","0.0","0.0","63","49","51"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-07","0.00","0.0","0.0","76","51","60"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-08","0.00","0.0","0.0","77","60","62"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-09","0.00","0.0","0.0","91","62","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-10","0.02","0.0","0.0","86","63","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-11","0.37","0.0","0.0","72","59","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-12","0.00","0.0","0.0","83","63","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-13","0.31","0.0","0.0","87","63","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-14","0.00","0.0","0.0","92","63","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-15","0.04","0.0","0.0","69","63","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-16","4.16","0.0","0.0","80","54","54"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-17","0.00","0.0","0.0","72","46","49"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-18","0.00","0.0","0.0","68","48","51"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-19","0.00","0.0","0.0","69","46","50"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-20","0.00","0.0","0.0","73","50","56"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-21","0.00","0.0","0.0","79","56","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-22","0.00","0.0","0.0","84","64","70"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-23","0.00","0.0","0.0","87","62","62"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-24","0.00","0.0","0.0","82","54","57"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-25","0.00","0.0","0.0","77","57","62"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-26","0.00","0.0","0.0","83","61","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-27","0.00","0.0","0.0","88","64","70"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-28","0.03","0.0","0.0","90","70","73"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-29","0.28","0.0","0.0","89","59","59"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-30","0.15","0.0","0.0","62","58","59"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-05-31","0.01","0.0","0.0","66","58","60"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-01","0.00","0.0","0.0","79","54","57"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-02","0.00","0.0","0.0","77","55","57"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-03","0.00","0.0","0.0","82","57","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-04","0.00","0.0","0.0","84","67","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-05","0.46","0.0","0.0","89","65","70"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-06","0.00","0.0","0.0","80","59","62"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-07","0.00","0.0","0.0","82","59","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-08","0.00","0.0","0.0","84","63","65"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-09","0.00","0.0","0.0","83","65","69"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-10","0.00","0.0","0.0","88","69","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-11","0.06","0.0","0.0","90","66","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-12","0.89","0.0","0.0","87","65","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-13","0.07","0.0","0.0","83","66","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-14","0.93","0.0","0.0","83","61","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-15","0.00","0.0","0.0","81","56","59"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-16","0.00","0.0","0.0","81","59","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-17","0.00","0.0","0.0","92","69","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-18","0.00","0.0","0.0","93","72","77"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-19","0.00","0.0","0.0","96","76","79"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-20","0.05","0.0","0.0","91","67","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-21","0.28","0.0","0.0","83","67","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-22","1.06","0.0","0.0","80","63","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-23","0.00","0.0","0.0","77","63","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-24","0.00","0.0","0.0","82","63","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-25","0.00","0.0","0.0","84","66","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-26","0.07","0.0","0.0","88","70","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-27","0.00","0.0","0.0","88","67","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-28","0.00","0.0","0.0","85","69","69"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-29","0.00","0.0","0.0","85","65","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-06-30","0.00","0.0","0.0","83","65","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-01","0.00","0.0","0.0","87","67","73"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-02","0.00","0.0","0.0","92","73","74"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-03","0.02","0.0","0.0","94","71","73"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-04","0.24","0.0","0.0","89","67","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-05","0.00","0.0","0.0","80","58","60"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-06","0.00","0.0","0.0","81","60","61"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-07","0.00","0.0","0.0","88","61","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-08","0.00","0.0","0.0","91","67","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-09","0.20","0.0","0.0","93","68","70"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-10","0.00","0.0","0.0","87","67","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-11","0.01","0.0","0.0","82","65","65"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-12","0.00","0.0","0.0","85","65","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-13","0.00","0.0","0.0","90","70","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-14","0.00","0.0","0.0","92","71","74"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-15","0.19","0.0","0.0","95","70","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-16","0.00","0.0","0.0","87","67","67"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-17","0.00","0.0","0.0","83","63","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-18","0.00","0.0","0.0","85","62","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-19","0.03","0.0","0.0","84","63","65"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-20","0.02","0.0","0.0","82","60","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-21","0.00","0.0","0.0","79","64","70"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-22","0.01","0.0","0.0","82","70","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-23","0.00","0.0","0.0","89","70","72"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-24","0.53","0.0","0.0","96","70","71"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-25","0.88","0.0","0.0","80","62","63"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-26","0.00","0.0","0.0","82","63","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-27","0.10","0.0","0.0","88","67","68"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-28","0.02","0.0","0.0","82","68","73"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-29","0.00","0.0","0.0","81","59","59"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-30","0.00","0.0","0.0","77","58","60"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-07-31","0.00","0.0","0.0","80","60","64"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-08-01","0.05","0.0","0.0","85","64","66"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-08-02","0.09","0.0","0.0","74","61","63"
